iter	Passed	Remaining
178	11229	51505
179	11292	51444
180	11351	51366
181	11402	51249
182	11484	51270
183	11543	51194
184	11613	51161
185	11671	51077
186	11751	51088
187	11814	51029
188	11871	50941
189	11935	50883
190	12005	50848
191	12082	50848
192	12143	50774
193	12209	50727
194	12276	50681
195	12334	50598
196	12402	50554
197	12463	50483
198	12540	50477
199	12594	50376
200	12673	50378
201	12737	50318
202	12800	50257
203	12863	50191
204	12946	50206
205	13014	50164
206	13074	50088
207	13158	50101
208	13232	50080
209	13298	50026
210	13357	49949
211	13428	49912
212	13490	49845
213	13553	49779
214	13621	49734
215	13683	49667
216	13742	49586
217	13810	49540
218	13870	49463
219	13922	49362
220	13988	49307
221	14056	49259
222	14118	49191
223	14180	49125
224	14225	48999
225	14305	48992
226	14371	48938
227	14455	48944
228	14533	48931
229	14595	48863
230	14646	48759
231	14712	48702
232	14773	48633
233	14836	48567
234	14899	48501
235	14982	48503
236	15051	48458
237	15111	48380
238	15188	48360
239	15254	48306
240	15316	48236
241	15380	48174
242	15461	48165
243	15526	48105
244	15590	48044
245	15658	47992
246	15713	47904
247	15776	47838
248	15826	47732
249	15905	47717
250	15964	47638
251	16033	47591
252	16110	47565
253	16172	47499
254	16239	47446
255	16314	47412
256	16376	47346
257	16426	47243
258	16489	47176
259	16554	47116
260	16630	47086
261	16696	47030
262	16762	46974
263	16820	46894
264	16889	46843
265	16950	46772
266	17016	46715
267	17066	46615
268	17133	46560
269	17190	46478
270	17283	46492
271	17334	46394
272	17399	46334
273	17451	46240
274	17504	46148
275	17588	46137
276	17644	46053
277	17708	45990
278	17767	45914
279	17831	45852
280	17900	45802
281	17978	45775
282	18039	45704
283	18107	45651
284	18172	45589
285	18234	45521
286	18299	45460
287	18360	45390
288	18430	45343
289	18517	45334
290	18574	45255
291	18638	45191
292	18701	45125
293	18760	45050
294	18826	44992
295	18894	44939
296	18955	44868
297	19021	44809
298	19090	44757
299	19146	44675
300	19211	44615
301	19287	44578
302	19340	44489
303	19404	44426
304	19473	44374
305	19533	44300
306	19596	44235
307	19666	44185
308	19723	44107
309	19785	44039
310	19849	43974
311	19915	43917
312	19981	43858
313	20042	43786
314	20107	43726
315	20187	43697
316	20252	43634
317	20316	43572
318	20383	43514
319	20435	43426
320	20500	43364
321	20566	43304
322	20627	43235
323	20678	43143
324	20732	43060
325	20801	43006
326	20863	42939
327	20934	42889
328	20992	42813
329	21060	42759
330	21141	42730
331	21218	42693
332	21278	42621
333	21338	42550
334	21404	42490
335	21464	42418
336	21531	42360
337	21593	42292
338	21660	42234
339	21722	42168
340	21785	42101
341	21846	42032
342	21917	41981
343	21992	41939
344	22051	41865
345	22101	41775
346	22166	41714
347	22232	41653
348	22302	41600
349	22362	41531
350	22426	41465
351	22495	41411
352	22553	41337
353	22619	41277
354	22681	41209
355	22742	41141
356	22804	41074
